vyrobek;vyrobce;pouziti;delka_mm;sirka_mm;vyska_mm;spotreba_ks_m2;ks_na_palete;hmotnost_kg_ks;hmotnost_palety_kg;zdroj;overeno
Porotherm 30 Profi;Wienerberger / Porotherm;nosné zdivo 300 mm;247;300;249;16,0;80;14,7;1220;https://www.wienerberger.cz/zdivo-porotherm/produkty/cihly/porotherm-30-profi.html;2026-08-17
HELUZ FAMILY 30 broušená;HELUZ;obvodové / vnitřní zdivo 300 mm;247;300;249;16,0;96;12,4;;https://www.heluz.cz/cs/vyrobek/heluz-family-30-brousena-1;2026-08-17
Porotherm 11,5 Profi;Wienerberger / Porotherm;nenosné příčky 115 mm;497;115;249;8,0;100;12,1;1240;https://www.wienerberger.cz/zdivo-porotherm/produkty/cihly/porotherm-11-5-profi.html;2026-08-17
HELUZ 11,5 broušená;HELUZ;nenosné příčky 115 mm;497;115;249;8,0;120;10,3;;https://www.heluz.cz/cs/vyrobek/heluz-11-5-brousena-1;2026-08-17
HELUZ UNI 25;HELUZ;nosné i nenosné zdivo 250 mm;375;250;238;10,7;72;15,8;;https://www.heluz.cz/cs/vyrobek/heluz-uni-25-1;2026-08-17
HELUZ P15 25;HELUZ;nosné zdivo 250 mm;375;250;238;10,7;72;18,1;;https://www.heluz.cz/cs/vyrobek/heluz-p15-25-1;2026-08-17
