rok;oblast;varianta;prumerna_sjednana_hodnota;jednotka;podil_podnikovych_kolektivnich_smluv_pct;poznamka;zdroj;overeno
2025;přesčas;pracovní den;26.3;% průměrného výdělku;44.7;Průměrná sjednaná úroveň příplatku za přesčas v pracovní den v podnikových kolektivních smlouvách.;https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
2025;přesčas;sobota a neděle;46.9;% průměrného výdělku;31.1;Průměrná sjednaná úroveň příplatku za přesčas v sobotu a neděli. Nezaměňovat automaticky s celým souběhem všech dalších příplatků.;https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
2025;noční práce;procentní forma;12.8;% průměrného výdělku;54.3;Průměrná procentní hodnota u kolektivních smluv používajících procentní formu.;https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
2025;noční práce;pevná hodinová sazba;25;Kč/h;38.2;Průměrná korunová hodnota u kolektivních smluv používajících hodinovou sazbu.;https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
2025;sobota a neděle;procentní forma;23.3;% průměrného výdělku;74.7;"Průměrná celorepubliková procentní výše; samotné ujednání o víkendovém příplatku obsahovalo 80,9 % podnikových kolektivních smluv.";https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
2025;svátek;procentní forma;103.0;% průměrného výdělku;více než 78;Průměrná výše příplatku v podnikových kolektivních smlouvách obsahujících ujednání o příplatku za práci ve svátek.;https://mpsv.gov.cz/vysledky-z-setreni-informace-o-pracovnich-podminkach;2026-08-17
